TEMPORAL;TERRITORIO;INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;04;;00;04;ANDALUCES;622.0;A
2016;04;;00;11;ANDALUCES;5.0;A
2016;04;;00;14;ANDALUCES;4.0;A
2016;04;;00;18;ANDALUCES;27.0;A
2016;04;;00;21;ANDALUCES;1.0;A
2016;04;;00;23;ANDALUCES;8.0;A
2016;04;;00;29;ANDALUCES;8.0;A
2016;04;;00;41;ANDALUCES;6.0;A
2016;04;;00;C01;ANDALUCES;681.0;A
2016;04;;00;C02;ANDALUCES;128.0;A
2016;04;;00;66;ANDALUCES;2417.0;A
2016;04;;00;NC000;ANDALUCES;1.0;A
2016;04;;00;00;ANDALUCES;3227.0;A
2016;04;;01;04;ANDALUCES;343.0;A
2016;04;;01;11;ANDALUCES;5.0;A
2016;04;;01;14;ANDALUCES;4.0;A
2016;04;;01;18;ANDALUCES;15.0;A
2016;04;;01;21;ANDALUCES;1.0;A
2016;04;;01;23;ANDALUCES;2.0;A
2016;04;;01;29;ANDALUCES;5.0;A
2016;04;;01;41;ANDALUCES;3.0;A
2016;04;;01;C01;ANDALUCES;378.0;A
2016;04;;01;C02;ANDALUCES;67.0;A
2016;04;;01;66;ANDALUCES;1207.0;A
2016;04;;01;NC000;ANDALUCES;1.0;A
2016;04;;01;00;ANDALUCES;1653.0;A
2016;04;;06;04;ANDALUCES;279.0;A
2016;04;;06;18;ANDALUCES;12.0;A
2016;04;;06;23;ANDALUCES;6.0;A
2016;04;;06;29;ANDALUCES;3.0;A
2016;04;;06;41;ANDALUCES;3.0;A
2016;04;;06;C01;ANDALUCES;303.0;A
2016;04;;06;C02;ANDALUCES;61.0;A
2016;04;;06;66;ANDALUCES;1210.0;A
2016;04;;06;00;ANDALUCES;1574.0;A
2016;11;;00;11;ANDALUCES;1197.0;A
2016;11;;00;14;ANDALUCES;13.0;A
2016;11;;00;18;ANDALUCES;8.0;A
2016;11;;00;21;ANDALUCES;6.0;A
2016;11;;00;23;ANDALUCES;5.0;A
2016;11;;00;29;ANDALUCES;16.0;A
2016;11;;00;41;ANDALUCES;54.0;A
2016;11;;00;C01;ANDALUCES;1299.0;A
2016;11;;00;C02;ANDALUCES;185.0;A
2016;11;;00;66;ANDALUCES;1025.0;A
2016;11;;00;00;ANDALUCES;2509.0;A
2016;11;;01;11;ANDALUCES;647.0;A
2016;11;;01;14;ANDALUCES;6.0;A
2016;11;;01;18;ANDALUCES;7.0;A
2016;11;;01;21;ANDALUCES;4.0;A
2016;11;;01;23;ANDALUCES;3.0;A
2016;11;;01;29;ANDALUCES;6.0;A
2016;11;;01;41;ANDALUCES;26.0;A
2016;11;;01;C01;ANDALUCES;699.0;A
2016;11;;01;C02;ANDALUCES;93.0;A
2016;11;;01;66;ANDALUCES;493.0;A
2016;11;;01;00;ANDALUCES;1285.0;A
2016;11;;06;11;ANDALUCES;550.0;A
2016;11;;06;14;ANDALUCES;7.0;A
2016;11;;06;18;ANDALUCES;1.0;A
2016;11;;06;21;ANDALUCES;2.0;A
2016;11;;06;23;ANDALUCES;2.0;A
2016;11;;06;29;ANDALUCES;10.0;A
2016;11;;06;41;ANDALUCES;28.0;A
2016;11;;06;C01;ANDALUCES;600.0;A
2016;11;;06;C02;ANDALUCES;92.0;A
2016;11;;06;66;ANDALUCES;532.0;A
2016;11;;06;00;ANDALUCES;1224.0;A
2016;14;;00;11;ANDALUCES;6.0;A
2016;14;;00;14;ANDALUCES;538.0;A
2016;14;;00;18;ANDALUCES;8.0;A
2016;14;;00;23;ANDALUCES;5.0;A
2016;14;;00;29;ANDALUCES;6.0;A
2016;14;;00;41;ANDALUCES;10.0;A
2016;14;;00;C01;ANDALUCES;573.0;A
2016;14;;00;C02;ANDALUCES;69.0;A
2016;14;;00;66;ANDALUCES;505.0;A
2016;14;;00;00;ANDALUCES;1147.0;A
2016;14;;01;11;ANDALUCES;2.0;A
2016;14;;01;14;ANDALUCES;286.0;A
2016;14;;01;18;ANDALUCES;5.0;A
2016;14;;01;23;ANDALUCES;3.0;A
2016;14;;01;29;ANDALUCES;1.0;A
2016;14;;01;41;ANDALUCES;4.0;A
2016;14;;01;C01;ANDALUCES;301.0;A
2016;14;;01;C02;ANDALUCES;43.0;A
2016;14;;01;66;ANDALUCES;253.0;A
2016;14;;01;00;ANDALUCES;597.0;A
2016;14;;06;11;ANDALUCES;4.0;A
2016;14;;06;14;ANDALUCES;252.0;A
2016;14;;06;18;ANDALUCES;3.0;A
2016;14;;06;23;ANDALUCES;2.0;A
2016;14;;06;29;ANDALUCES;5.0;A
2016;14;;06;41;ANDALUCES;6.0;A
2016;14;;06;C01;ANDALUCES;272.0;A
2016;14;;06;C02;ANDALUCES;26.0;A
2016;14;;06;66;ANDALUCES;252.0;A
2016;14;;06;00;ANDALUCES;550.0;A
2016;18;;00;04;ANDALUCES;18.0;A
2016;18;;00;11;ANDALUCES;16.0;A
2016;18;;00;14;ANDALUCES;11.0;A
2016;18;;00;18;ANDALUCES;1058.0;A
2016;18;;00;21;ANDALUCES;1.0;A
2016;18;;00;23;ANDALUCES;19.0;A
2016;18;;00;29;ANDALUCES;16.0;A
2016;18;;00;41;ANDALUCES;16.0;A
2016;18;;00;C01;ANDALUCES;1155.0;A
2016;18;;00;C02;ANDALUCES;170.0;A
2016;18;;00;66;ANDALUCES;2560.0;A
2016;18;;00;00;ANDALUCES;3885.0;A
2016;18;;01;04;ANDALUCES;8.0;A
2016;18;;01;11;ANDALUCES;7.0;A
2016;18;;01;14;ANDALUCES;6.0;A
2016;18;;01;18;ANDALUCES;572.0;A
2016;18;;01;21;ANDALUCES;1.0;A
2016;18;;01;23;ANDALUCES;8.0;A
2016;18;;01;29;ANDALUCES;6.0;A
2016;18;;01;41;ANDALUCES;9.0;A
2016;18;;01;C01;ANDALUCES;617.0;A
2016;18;;01;C02;ANDALUCES;91.0;A
2016;18;;01;66;ANDALUCES;1247.0;A
2016;18;;01;00;ANDALUCES;1955.0;A
2016;18;;06;04;ANDALUCES;10.0;A
2016;18;;06;11;ANDALUCES;9.0;A
2016;18;;06;14;ANDALUCES;5.0;A
2016;18;;06;18;ANDALUCES;486.0;A
2016;18;;06;23;ANDALUCES;11.0;A
2016;18;;06;29;ANDALUCES;10.0;A
2016;18;;06;41;ANDALUCES;7.0;A
2016;18;;06;C01;ANDALUCES;538.0;A
2016;18;;06;C02;ANDALUCES;79.0;A
2016;18;;06;66;ANDALUCES;1313.0;A
2016;18;;06;00;ANDALUCES;1930.0;A
2016;21;;00;11;ANDALUCES;4.0;A
2016;21;;00;14;ANDALUCES;3.0;A
2016;21;;00;18;ANDALUCES;2.0;A
2016;21;;00;21;ANDALUCES;297.0;A
2016;21;;00;23;ANDALUCES;2.0;A
2016;21;;00;29;ANDALUCES;4.0;A
2016;21;;00;41;ANDALUCES;20.0;A
2016;21;;00;C01;ANDALUCES;332.0;A
2016;21;;00;C02;ANDALUCES;33.0;A
2016;21;;00;66;ANDALUCES;286.0;A
2016;21;;00;00;ANDALUCES;651.0;A
2016;21;;01;11;ANDALUCES;2.0;A
2016;21;;01;14;ANDALUCES;2.0;A
2016;21;;01;21;ANDALUCES;158.0;A
2016;21;;01;29;ANDALUCES;2.0;A
2016;21;;01;41;ANDALUCES;11.0;A
2016;21;;01;C01;ANDALUCES;175.0;A
2016;21;;01;C02;ANDALUCES;21.0;A
2016;21;;01;66;ANDALUCES;146.0;A
2016;21;;01;00;ANDALUCES;342.0;A
2016;21;;06;11;ANDALUCES;2.0;A
2016;21;;06;14;ANDALUCES;1.0;A
2016;21;;06;18;ANDALUCES;2.0;A
2016;21;;06;21;ANDALUCES;139.0;A
2016;21;;06;23;ANDALUCES;2.0;A
2016;21;;06;29;ANDALUCES;2.0;A
2016;21;;06;41;ANDALUCES;9.0;A
2016;21;;06;C01;ANDALUCES;157.0;A
2016;21;;06;C02;ANDALUCES;12.0;A
2016;21;;06;66;ANDALUCES;140.0;A
2016;21;;06;00;ANDALUCES;309.0;A
2016;23;;00;04;ANDALUCES;1.0;A
2016;23;;00;11;ANDALUCES;3.0;A
2016;23;;00;14;ANDALUCES;5.0;A
2016;23;;00;18;ANDALUCES;12.0;A
2016;23;;00;23;ANDALUCES;461.0;A
2016;23;;00;29;ANDALUCES;2.0;A
2016;23;;00;41;ANDALUCES;2.0;A
2016;23;;00;C01;ANDALUCES;486.0;A
2016;23;;00;C02;ANDALUCES;55.0;A
2016;23;;00;66;ANDALUCES;499.0;A
2016;23;;00;NC000;ANDALUCES;2.0;A
2016;23;;00;00;ANDALUCES;1042.0;A
2016;23;;01;04;ANDALUCES;1.0;A
2016;23;;01;11;ANDALUCES;3.0;A
2016;23;;01;14;ANDALUCES;2.0;A
2016;23;;01;18;ANDALUCES;7.0;A
2016;23;;01;23;ANDALUCES;241.0;A
