TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2009;;00;04;ANDALUCES;10466.0;A
2009;;00;11;ANDALUCES;10992.0;A
2009;;00;14;ANDALUCES;8459.0;A
2009;;00;18;ANDALUCES;15153.0;A
2009;;00;21;ANDALUCES;2911.0;A
2009;;00;23;ANDALUCES;5486.0;A
2009;;00;29;ANDALUCES;12490.0;A
2009;;00;41;ANDALUCES;11619.0;A
2009;;00;C01;ANDALUCES;77576.0;A
2009;;00;C02;ANDALUCES;5449.0;A
2009;;00;66;ANDALUCES;85898.0;A
2009;;00;NC000;ANDALUCES;2955.0;A
2009;;00;00;ANDALUCES;171878.0;A
2009;;01;04;ANDALUCES;5034.0;A
2009;;01;11;ANDALUCES;5224.0;A
2009;;01;14;ANDALUCES;4239.0;A
2009;;01;18;ANDALUCES;7406.0;A
2009;;01;21;ANDALUCES;1438.0;A
2009;;01;23;ANDALUCES;2676.0;A
2009;;01;29;ANDALUCES;6077.0;A
2009;;01;41;ANDALUCES;5565.0;A
2009;;01;C01;ANDALUCES;37659.0;A
2009;;01;C02;ANDALUCES;2576.0;A
2009;;01;66;ANDALUCES;42612.0;A
2009;;01;NC000;ANDALUCES;1513.0;A
2009;;01;00;ANDALUCES;84360.0;A
2009;;06;04;ANDALUCES;5432.0;A
2009;;06;11;ANDALUCES;5768.0;A
2009;;06;14;ANDALUCES;4220.0;A
2009;;06;18;ANDALUCES;7747.0;A
2009;;06;21;ANDALUCES;1473.0;A
2009;;06;23;ANDALUCES;2810.0;A
2009;;06;29;ANDALUCES;6413.0;A
2009;;06;41;ANDALUCES;6054.0;A
2009;;06;C01;ANDALUCES;39917.0;A
2009;;06;C02;ANDALUCES;2873.0;A
2009;;06;66;ANDALUCES;43286.0;A
2009;;06;NC000;ANDALUCES;1442.0;A
2009;;06;00;ANDALUCES;87518.0;A
2009;04;00;04;ANDALUCES;10281.0;A
2009;04;00;11;ANDALUCES;10.0;A
2009;04;00;14;ANDALUCES;20.0;A
2009;04;00;18;ANDALUCES;123.0;A
2009;04;00;21;ANDALUCES;6.0;A
2009;04;00;23;ANDALUCES;20.0;A
2009;04;00;29;ANDALUCES;31.0;A
2009;04;00;41;ANDALUCES;21.0;A
2009;04;00;C01;ANDALUCES;10512.0;A
2009;04;00;C02;ANDALUCES;496.0;A
2009;04;00;66;ANDALUCES;14631.0;A
2009;04;00;NC000;ANDALUCES;422.0;A
2009;04;00;00;ANDALUCES;26061.0;A
