ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;País de residencia;(TOTAL) País de residencia;;0
66;Extranjero;(66) Extranjero;;1
NP000;No procede;(NP000) No procede;;2
NC000;No consta;(NC000) No consta;;3
6601;Europa;(6601) Europa;66;4
6602;África;(6602) África;66;5
6603;América;(6603) América;66;6
6604;Asia;(6604) Asia;66;7
6605;Oceanía;(6605) Oceanía;66;8
66555;Apátridas;(66555) Apátridas;66;9
66NC00;No consta;(66NC00) No consta;66;10
0101;Unión Europea;(0101) Unión Europea;6601;13
0102;Resto de Países Europeos;(0102) Resto de Países Europeos;6601;14
126;Alemania;(126) Alemania;;50
102;Austria;(102) Austria;;51
103;Bélgica;(103) Bélgica;;52
107;Dinamarca;(107) Dinamarca;;53
109;Finlandia;(109) Finlandia;;54
110;Francia;(110) Francia;;55
111;Grecia;(111) Grecia;;56
121;Países Bajos;(121) Países Bajos;;57
113;Irlanda;(113) Irlanda;;58
115;Italia;(115) Italia;;59
117;Luxemburgo;(117) Luxemburgo;;60
123;Portugal;(123) Portugal;;61
125;Reino Unido;(125) Reino Unido;;62
131;Suecia;(131) Suecia;;63
104;Bulgaria;(104) Bulgaria;;64
106;Chipre;(106) Chipre;;65
146;Croacia;(146) Croacia;;66
144;Eslovaquia;(144) Eslovaquia;;67
147;Eslovenia;(147) Eslovenia;;68
141;Estonia;(141) Estonia;;69
112;Hungría;(112) Hungría;;70
136;Letonia;(136) Letonia;;71
142;Lituania;(142) Lituania;;72
118;Malta;(118) Malta;;73
122;Polonia;(122) Polonia;;74
143;República Checa;(143) República Checa;;75
128;Rumanía;(128) Rumanía;;76
114;Islandia;(114) Islandia;;77
120;Noruega;(120) Noruega;;78
154;Rusia;(154) Rusia;;79
132;Suiza;(132) Suiza;;80
155;Serbia y Montenegro;(155) Serbia y Montenegro;;81
101;Albania;(101) Albania;;82
124;Andorra;(124) Andorra;;83
148;Armenia;(148) Armenia;;84
138;Belarus;(138) Belarus;;85
145;Bosnia-Herzegovina;(145) Bosnia-Herzegovina;;86
139;Georgia;(139) Georgia;;87
116;Liechtenstein;(116) Liechtenstein;;88
156;Macedonia;(156) Macedonia;;89
137;Moldava;(137) Moldava;;90
119;Mónaco;(119) Mónaco;;91
129;San Marino;(129) San Marino;;92
130;Santa Sede;(130) Santa Sede;;93
135;Ucrania;(135) Ucrania;;94
199;Países de Europa sin relaciones diplomáticas;(199) Países de Europa sin relaciones diplomáticas;;95
001;País de Europa no determinado;(001) País de Europa no determinado;;96
157;Serbia;(157) Serbia;;97
158;Montenegro;(158) Montenegro;;98
133;U.R.S.S. Unión Soviética;(133) U.R.S.S. Unión Soviética;;99
105;Checoslovaquia;(105) Checoslovaquia;;100
2030;Argelia;(2030) Argelia;6602;15
2130;Egipto;(2130) Egipto;6602;16
2280;Marruecos;(2280) Marruecos;6602;17
2340;Nigeria;(2340) Nigeria;6602;18
2480;Túnez;(2480) Túnez;6602;19
2500;República Democrática del Congo;(2500) República Democrática del Congo;6602;20
0207;Resto de Países Africanos;(0207) Resto de Países Africanos;6602;21
203;Argelia;(203) Argelia;;101
213;Egipto;(213) Egipto;;102
228;Marruecos;(228) Marruecos;;103
234;Nigeria;(234) Nigeria;;104
248;Túnez;(248) Túnez;;105
250;República Democrática del Congo;(250) República Democrática del Congo;;106
202;Angola;(202) Angola;;107
204;Benin;(204) Benin;;108
205;Botswana;(205) Botswana;;109
201;Burkina Faso;(201) Burkina Faso;;110
206;Burundi;(206) Burundi;;111
207;Cabo Verde;(207) Cabo Verde;;112
208;Camerún;(208) Camerún;;113
246;Chad;(246) Chad;;114
209;Comores;(209) Comores;;115
210;Congo;(210) Congo;;116
211;Costa de Marfil;(211) Costa de Marfil;;117
212;Djibouti;(212) Djibouti;;118
253;Eritrea;(253) Eritrea;;119
214;Etiopía;(214) Etiopía;;120
215;Gabón;(215) Gabón;;121
216;Gambia;(216) Gambia;;122
217;Ghana;(217) Ghana;;123
218;Guinea;(218) Guinea;;124
219;Guinea Bissau;(219) Guinea Bissau;;125
220;Guinea Ecuatorial;(220) Guinea Ecuatorial;;126
221;Kenia;(221) Kenia;;127
222;Lesotho;(222) Lesotho;;128
223;Liberia;(223) Liberia;;129
224;Libia;(224) Libia;;130
225;Madagascar;(225) Madagascar;;131
226;Malawi;(226) Malawi;;132
227;Mali;(227) Mali;;133
229;Mauricio;(229) Mauricio;;134
230;Mauritania;(230) Mauritania;;135
231;Mozambique;(231) Mozambique;;136
232;Namibia;(232) Namibia;;137
233;Níger;(233) Níger;;138
235;República Centroafricana;(235) República Centroafricana;;139
237;Ruanda;(237) Ruanda;;140
238;Santo Tomé y Príncipe;(238) Santo Tomé y Príncipe;;141
239;Senegal;(239) Senegal;;142
240;Seychelles;(240) Seychelles;;143
241;Sierra Leona;(241) Sierra Leona;;144
242;Somalia;(242) Somalia;;145
236;Sudáfrica;(236) Sudáfrica;;146
243;Sudán;(243) Sudán;;147
244;Swazilandia;(244) Swazilandia;;148
245;Tanzania;(245) Tanzania;;149
247;Togo;(247) Togo;;150
249;Uganda;(249) Uganda;;151
251;Zambia;(251) Zambia;;152
252;Zimbabwe;(252) Zimbabwe;;153
