ID;NAME;DESCRIPTION;PARENTCODE;ORDER
Total;Tipo de ventas (IASS);(Total) Tipo de ventas (IASS);;0
01;Índice General;(01) Índice General;;1
02;Comercio;(02) Comercio;;2
03;Otros Servicios;(03) Otros Servicios;;3
04;Transportes y Almacenamiento;(04) Transportes y Almacenamiento;;4
05;Hostelería;(05) Hostelería;;5
06;Información y Comunicaciones;(06) Información y Comunicaciones;;6
07;Actividades profesionales, científicas y técnicas;(07) Actividades profesionales, científicas y técnicas;;7
08;Actividades administrativas y servicios auxiliares;(08) Actividades administrativas y servicios auxiliares;;8
_Z;No aplica;No aplica;;
